Metric,Value
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,0.013273882368980635
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.013273882368980635
timing__hold__ws__corner:max_tt_025C_1v80,0.47556315786961073
timing__setup__ws__corner:max_tt_025C_1v80,7.908318668211949
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.475563
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,7.908319
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,21
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,0.020418611823720116
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.020418611823720116
timing__hold__ws__corner:max_ss_100C_1v60,0.9728216285662169
timing__setup__ws__corner:max_ss_100C_1v60,5.479206576872566
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.972822
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,5.479207
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,21
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,0.010373535657422469
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.010373535657422469
timing__hold__ws__corner:max_ff_n40C_1v95,0.29667769081153866
timing__setup__ws__corner:max_ff_n40C_1v95,8.782675280073194
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.296678
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,8.782676
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,21
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79898
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79973
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0010189
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00111094
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000258361
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00111094
design_powergrid__voltage__worst,0.00111094
design_powergrid__voltage__worst__net:VPWR,1.79898
design_powergrid__drop__worst,0.00111094
design_powergrid__drop__worst__net:VPWR,0.0010189
design_powergrid__voltage__worst__net:VGND,0.00111094
design_powergrid__drop__worst__net:VGND,0.00111094
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000271999999999999997855881783692666431306861340999603271484375
ir__drop__worst,0.001020000000000000073274719625260331667959690093994140625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
