Metric,Value
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.470753671590913
timing__hold__ws__corner:min_ff_n40C_1v95,0.23200980682229846
timing__setup__ws__corner:min_ff_n40C_1v95,5.099727895431199
timing__hold__tns__corner:min_ff_n40C_1v95,0
timing__setup__tns__corner:min_ff_n40C_1v95,0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.23201
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,5.099728
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,309
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,0.7389056242678773
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.7389056242678773
timing__hold__ws__corner:max_tt_025C_1v80,0.35774551000816124
timing__setup__ws__corner:max_tt_025C_1v80,1.8413227019853786
timing__hold__tns__corner:max_tt_025C_1v80,0
timing__setup__tns__corner:max_tt_025C_1v80,0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.357745
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,1.841323
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,309
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,907
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,23
clock__skew__worst_hold__corner:max_ss_100C_1v60,1.3177255215522605
clock__skew__worst_setup__corner:max_ss_100C_1v60,1.3177255215522605
timing__hold__ws__corner:max_ss_100C_1v60,0.7421211633050407
timing__setup__ws__corner:max_ss_100C_1v60,-6.1794686672294015
timing__hold__tns__corner:max_ss_100C_1v60,0
timing__setup__tns__corner:max_ss_100C_1v60,-857.228737146809
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-6.1794686672294015
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.742121
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,664
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-6.179469
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,664
timing__unannotated_net__count__corner:max_ss_100C_1v60,309
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,0.5142083571152364
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.5142083571152364
timing__hold__ws__corner:max_ff_n40C_1v95,0.23419733482073618
timing__setup__ws__corner:max_ff_n40C_1v95,4.88455600903233
timing__hold__tns__corner:max_ff_n40C_1v95,0
timing__setup__tns__corner:max_ff_n40C_1v95,0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.234197
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,4.884556
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,309
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,309
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79778
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79976
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0022241
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00159773
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000231874
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00159773
design_powergrid__voltage__worst,0.00159773
design_powergrid__voltage__worst__net:VPWR,1.79778
design_powergrid__drop__worst,0.0022241
design_powergrid__drop__worst__net:VPWR,0.0022241
design_powergrid__voltage__worst__net:VGND,0.00159773
design_powergrid__drop__worst__net:VGND,0.00159773
ir__voltage__worst,1.8
ir__drop__avg,0.00024
ir__drop__worst,0.00222
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
