Metric,Value
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,7.351092
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,21
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79804
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79957
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00195623
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00164568
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000382954
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00164568
design_powergrid__voltage__worst,0.00164568
design_powergrid__voltage__worst__net:VPWR,1.79804
design_powergrid__drop__worst,0.00195623
design_powergrid__drop__worst__net:VPWR,0.00195623
design_powergrid__voltage__worst__net:VGND,0.00164568
design_powergrid__drop__worst__net:VGND,0.00164568
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0004279999999999999950317519648024244816042482852935791015625
ir__drop__worst,0.0019599999999999999367172875963660771958529949188232421875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
