Metric,Value
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00217598
design_powergrid__voltage__worst,0.00217598
design_powergrid__voltage__worst__net:VPWR,1.79783
design_powergrid__drop__worst,0.00217598
design_powergrid__drop__worst__net:VPWR,0.0021724
design_powergrid__voltage__worst__net:VGND,0.00217598
design_powergrid__drop__worst__net:VGND,0.00217598
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0005100000000000000366373598126301658339798450469970703125
ir__drop__worst,0.00217000000000000005384581669432009221054613590240478515625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
