Metric,Value
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.869595
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,185
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-7.104166
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,185
timing__unannotated_net__count__corner:max_ss_100C_1v60,198
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,208
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,0.17962032369885467
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.17962032369885467
timing__hold__ws__corner:max_ff_n40C_1v95,0.28644004645617355
timing__setup__ws__corner:max_ff_n40C_1v95,4.743853888428578
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.286440
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,4.743854
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,198
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,198
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79868
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79978
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00131872
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00124668
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000229506
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00124668
design_powergrid__voltage__worst,0.00124668
design_powergrid__voltage__worst__net:VPWR,1.79868
design_powergrid__drop__worst,0.00131872
design_powergrid__drop__worst__net:VPWR,0.00131872
design_powergrid__voltage__worst__net:VGND,0.00124668
design_powergrid__drop__worst__net:VGND,0.00124668
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00022399999999999999663984062703292465812410227954387664794921875
ir__drop__worst,0.00131999999999999999278355033993648248724639415740966796875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
